character1,character2,scenes
0,29,1
0,30,1
0,35,1
17,0,1
39,0,1
0,14,1
0,43,1
0,44,1
51,0,1
0,54,1
0,55,1
0,5,1
0,58,1
63,0,1
0,70,1
0,86,1
0,88,1
40,1,1
51,1,1
65,1,1
68,1,1
2,79,1
101,2,1
95,2,1
3,97,1
101,3,1
5,4,1
6,7,1
8,7,1
4,7,1
5,7,1
9,5,1
9,7,1
5,11,1
12,14,1
15,14,1
18,14,1
15,19,1
22,18,1
8,14,1
26,27,1
15,26,1
15,27,1
8,23,1
24,20,1
26,20,1
24,4,1
24,26,1
26,18,1
28,29,1
29,23,1
21,23,1
29,15,1
29,18,1
29,21,1
29,4,1
28,18,1
30,4,1
30,27,1
26,23,1
12,4,1
15,31,1
4,31,1
4,35,1
32,35,1
33,35,1
35,34,1
36,31,1
33,8,1
17,13,1
12,37,1
37,5,1
25,37,1
25,10,1
37,15,1
9,11,1
42,41,1
12,33,1
36,33,1
40,15,1
8,6,1
18,43,1
45,43,1
44,18,1
18,45,1
44,45,1
48,8,1
49,46,1
49,8,1
24,52,1
51,18,1
51,52,1
8,41,1
36,41,1
36,15,1
41,34,1
15,34,1
32,41,1
15,32,1
15,41,1
15,42,1
53,49,1
8,54,1
8,55,1
5,8,1
18,54,1
53,54,1
18,55,1
53,55,1
53,5,1
33,56,1
18,34,1
36,61,1
59,61,1
61,18,1
61,60,1
62,34,1
8,64,1
58,5,1
63,32,1
63,34,1
36,4,1
24,34,1
24,65,1
51,69,1
69,8,1
30,72,1
72,29,1
69,70,1
69,71,1
73,74,1
73,75,1
73,66,1
74,75,1
74,66,1
68,69,1
69,76,1
68,24,1
24,76,1
74,76,1
76,77,1
68,74,1
66,77,1
24,80,1
72,81,1
24,79,1
80,69,1
66,81,1
86,82,1
48,82,1
48,24,1
48,72,1
48,69,1
90,29,1
90,72,1
90,69,1
89,66,1
89,29,1
72,60,1
87,60,1
91,60,1
24,60,1
69,60,1
66,60,1
91,66,1
91,75,1
94,92,1
95,94,1
95,92,1
95,93,1
99,100,1
95,99,1
101,98,1
101,96,1
91,93,1
105,93,1
72,104,1
91,104,1
96,104,1
69,104,1
24,104,1
105,104,1
105,72,1
91,96,1
91,105,1
24,96,1
105,96,1
107,99,1
109,104,1
110,106,1
109,106,1
93,106,1
108,106,1
69,98,1
66,98,1
2,0,2
0,21,2
0,22,2
0,27,2
13,0,2
0,33,2
38,0,2
52,0,2
0,57,2
36,0,2
0,69,2
0,83,2
0,72,2
3,1,2
26,1,2
50,1,2
48,2,2
2,103,2
2,93,2
3,92,2
10,11,2
15,16,2
17,4,2
17,8,2
17,15,2
5,14,2
4,14,2
4,19,2
13,19,2
15,21,2
4,21,2
18,21,2
22,4,2
26,4,2
4,27,2
28,15,2
12,31,2
32,4,2
33,4,2
17,18,2
5,18,2
39,38,2
39,19,2
12,41,2
12,42,2
12,34,2
36,32,2
40,8,2
44,43,2
47,46,2
48,46,2
52,50,2
52,18,2
32,18,2
55,54,2
5,54,2
5,55,2
53,32,2
53,34,2
53,12,2
8,57,2
58,8,2
24,12,2
36,59,2
36,60,2
59,18,2
59,60,2
60,18,2
40,18,2
24,40,2
63,8,2
36,65,2
67,66,2
68,67,2
70,71,2
68,75,2
83,82,2
85,75,2
48,87,2
89,24,2
29,66,2
90,24,2
91,72,2
91,24,2
91,69,2
94,93,2
98,97,2
94,100,2
101,72,2
94,102,2
96,103,2
103,98,2
72,93,2
93,104,2
24,93,2
105,69,2
105,24,2
95,72,2
96,94,2
109,110,2
110,93,2
108,110,2
109,93,2
108,109,2
0,26,3
40,0,3
0,45,3
0,50,3
53,0,3
48,0,3
1,20,3
36,1,3
2,29,3
2,94,3
3,103,3
3,69,3
3,24,3
13,12,3
13,14,3
12,10,3
8,19,3
18,20,3
15,23,3
25,12,3
4,34,3
25,5,3
12,32,3
48,49,3
51,24,3
53,18,3
53,8,3
36,24,3
51,66,3
66,50,3
66,76,3
68,76,3
76,75,3
72,79,3
84,66,3
24,29,3
12,66,3
92,93,3
95,96,3
99,102,3
69,93,3
96,69,3
108,93,3
72,94,3
0,19,4
0,87,4
29,1,4
33,32,4
33,34,4
38,19,4
24,50,4
51,50,4
50,18,4
68,66,4
66,75,4
69,79,4
72,103,4
94,98,4
0,20,5
12,1,5
1,34,5
87,1,5
18,23,5
12,15,5
12,18,5
8,46,5
12,8,5
36,18,5
91,87,5
99,94,5
2,8,6
12,5,6
4,20,6
36,12,6
47,8,6
66,34,6
87,66,6
87,75,6
0,71,7
13,15,7
13,18,7
13,8,7
0,23,8
0,82,8
0,66,8
3,2,8
3,93,8
5,10,8
4,23,8
36,34,8
36,8,8
24,87,8
0,32,9
0,34,9
3,72,9
13,4,9
32,8,9
8,18,9
24,8,9
15,18,10
72,8,10
24,0,11
96,93,11
0,15,12
24,18,12
72,87,12
87,69,12
4,1,13
2,98,13
3,96,15
15,8,15
18,4,16
32,34,16
2,1,17
3,98,17
72,98,17
72,1,18
2,87,20
2,96,20
8,34,20
0,12,21
0,4,22
15,4,22
66,8,22
69,1,23
96,72,23
18,1,24
8,4,26
69,66,26
8,1,28
24,66,29
96,98,29
0,1,32
2,66,32
66,1,34
24,2,39
0,18,41
72,66,43
0,8,47
2,69,48
24,69,49
24,72,54
24,1,55
72,69,69
2,72,77
