ID,Gender,NegGosF1R,NegGosF2R,NegGosF3R,NegGosF4R,NegGosF5R,NegGosF6R,NegGosF7R,NegGosF8R,NegGosF9R,NegGosF10R,NegGosF11R,NegGosF12R,NegGosF13R,NegGosF14R,NegGosF15R,NegGosF16R,NegGosF17R,NegGosF18R,NegGosF19R,NegGosF20R,NegGosF21R,NegGosF22R,NegGosF23R,NegGosF24R,NegGosM1R,NegGosM2R,NegGosM3R,NegGosM4R,NegGosM5R,NegGosM6R,NegGosM7R,NegGosM8R,NegGosM9R,NegGosM10R,NegGosM11R,NegGosM12R,NegGosM14R,NegGosM15R,NegGosM16R,NegGosM17R,NegGosM18R,NegGosM19R,NegGosM20R,NegGosM21R,PosGosF1R,PosGosF2R,PosGosF3R,PosGosF4R,PosGosF5R,PosGosF6R,PosGosF7R,PosGosF8R,PosGosF9R,PosGosF10R,PosGosF11R,PosGosF12R,PosGosF13R,PosGosF14R,PosGosF15R,PosGosF16R,PosGosF17R,PosGosF18R,PosGosF19R,PosGosF20R,PosGosF21R,PosGosF22R,PosGosF23R,PosGosF24R,PosGosM1R,PosGosM2R,PosGosM3R,PosGosM4R,PosGosM5R,PosGosM6R,PosGosM7R,PosGosM8R,PosGosM9R,PosGosM10R,PosGosM11R,PosGosM12R,PosGosM13R,PosGosM14R,PosGosM15R,PosGosM16R,PosGosM17R,PosGosM18R,PosGosM19R,PosGosM20R,PosGosM21R,HUGosF1R,HUGosF2R,HUGosF3R,HUGosF4R,HUGosF5R,HUGosF6R,HUGosF7R,HUGosF8R,HUGosF9R,HUGosF10R,HUGosF11R,HUGosF12R,HUGosF13R,HUGosF14R,HUGosF15R,HUGosF16R,HUGosF17R,HUGosF18R,HUGosF19R,HUGosF20R,HUGosF21R,HUGosF22R,HUGosF23R,HUGosF24R,HUGosM1R,HUGosM2R,HUGosM3R,HUGosM4R,HUGosM5R,HUGosM6R,HUGosM7R,HUGosM8R,HUGosM9R,HUGosM10R,HUGosM11R,HUGosM12R,HUGosM13R,HUGosM14R,HUGosM15R,HUGosM16R,HUGosM17R,HUGosM18R,HUGosM19R,HUGosM20R,HUGosM21R,FriendsF1R,FriendsF2R,FriendsF3R,FriendsF4R,FriendsF5R,FriendsF6R,FriendsF7R,FriendsF8R,FriendsF9R,FriendsF10R,FriendsF11R,FriendsF12R,FriendsF13R,FriendsF14R,FriendsF15R,FriendsF16R,FriendsF17R,FriendsF18R,FriendsF19R,FriendsF20R,FriendsF21R,FriendsF22R,FriendsF23R,FriendsF24R,FriendsM1R,FriendsM2R,FriendsM3R,FriendsM4R,FriendsM5R,FriendsM6R,FriendsM7R,FriendsM8R,FriendsM9R,FriendsM10R,FriendsM11R,FriendsM12R,FriendsM13R,FriendsM14R,FriendsM15R,FriendsM16R,FriendsM17R,FriendsM18R,FriendsM19R,FriendsM20R,FriendsM21R,NegGos,PosGos,HUGos,Friends,RUCLA,GWBS,Num_Part,PosGosIN,PosGosOUT,NegGosIN,NegGosOUT,HUGosIN,HUGosOUT,FriendsIN,FriendsOUT,PosGosDIFF,NegGosDIFF,HUGosDIFF,FriendsDIFF
10001,2, ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.139534884,0.11627907,0.022727273,0.418604651,39,69,2,5,13,6,4,1,2,18,28,8,-2,1,10
10002,2,1, ,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.209302326,1,0,0.348837209,34,97,4,43,14,9,8,0,5,15,26,-29,-1,5,11
10003,2,0,1, ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1, ,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1, ,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0.11627907,0.23255814,0.069767442,0.581395349,35,88,2,10,25,5,4,3,1,25,32,15,-1,-2,7
10004,2,0,0,1, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1, ,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0, ,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0.139534884,0.511627907,0.023255814,0.604651163,40,73,10,22,10,6,6,1,6,26,24,-12,0,5,-2
10005,2,0,0,0,1, ,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0, ,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1, ,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.162790698,0.162790698,0.139534884,0.325581395,40,89,0,7,9,7,3,6,2,14,23,2,-4,-4,9
10006,2,0,0,0,0,0, ,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.11627907,0.279069767,0.162790698,0.441860465,44,73,0,12,6,5,1,7,1,19,13,-6,-4,-6,-6
10007,2,1,0,0,0,0,0, ,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0.255813953,0.651162791,0.162790698,0.720930233,34,96,1,28,5,11,14,7,4,31,14,-23,3,-3,-17
10008,2,0,1,0,0,0,0,0, ,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0, ,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1, ,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.23255814,0.372093023,0.11627907,0.511627907,45,89,1,16,23,10,1,5,5,22,27,7,-9,0,5
10009,2,0,0,0,0,0,0,1,0, ,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1, ,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.093023256,0.023255814,0.023255814,0.418604651,39,88,0,1,12,4,6,1,4,18,19,11,2,3,1
10010,2,0,0,0,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0, ,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1, ,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0.11627907,0.279069767,0.046511628,0.720930233,35,94,1,12,17,5,0,2,0,31,27,5,-5,-2,-4
10011,2,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0.953488372,49,54,2,0,10,0,5,0,3,41,23,10,5,3,-18
10012,2,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1, ,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0.837209302,0,0.744186047,34,105,0,36,12,0,21,0,1,32,19,-24,21,1,-13
