ccode,country,year,democracy,polity2,us_nukes,rus_nukes,uk_nukes,us_vis,uk_vis,fra_vis,rus_vis,chi_vis,us_econaid,us_pact,uk_pact,fra_pact,rus_pact,chi_pact,us_words,us_ex,uk_ex,fra_ex,rus_ex,chi_ex,us_arms,uk_arms,fra_arms,rus_arms,chi_arms,us_troops,uk_troops,fra_troops,rus_troops,chi_troops,us_arms_dum,rus_arms_dum,chi_arms_dum,fra_arms_dum,uk_arms_dum,uk_troops_dum,us_troops_dum,fra_troops_dum,rus_troops_dum,chi_troops_dum,us_words_dum,us_econaid_dum
20,Canada,1950,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,27,0,0,0,0,0,557,48,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1951,1,10,0,0,0,0,1,0,0,0,0,1,1,1,0,0,24,0,0,0,0,0,941,59,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1952,1,10,0,0,0,0,1,0,0,0,43600000,1,1,1,0,0,39,0,0,0,0,0,1008,52,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
20,Canada,1953,1,10,0,0,0,1,0,0,0,0,47100000,1,1,1,0,0,50,0,0,0,0,0,1340,300,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
20,Canada,1954,1,10,0,0,0,0,1,1,0,0,34600000,1,1,1,0,0,13,0,0,0,0,0,890,316,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
20,Canada,1955,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,937,33,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1956,1,10,0,0,0,0,1,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,611,106,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1957,1,10,0,0,0,0,1,1,0,0,0,1,1,1,0,0,8,0,0,0,0,0,245,504,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1958,1,10,0,0,0,1,1,0,0,0,0,1,1,1,0,0,18,0,0,0,0,0,187,65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1959,1,10,0,0,0,1,1,0,0,0,0,1,1,1,0,0,12,0,0,0,0,0,206,163,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1960,1,10,0,0,0,0,0,1,0,0,0,1,1,1,0,0,21,0,0,0,0,0,160,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
20,Canada,1961,1,10,0,0,0,1,1,0,0,0,0,1,1,1,0,0,62,0,0,0,0,0,1571,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
20,Canada,1962,1,10,0,0,0,0,1,0,0,0,0,1,1,1,0,0,22,0,0,0,0,0,1194,33,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1963,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,34,0,0,0,0,0,912,95,5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1964,1,10,1,0,0,1,1,0,0,0,0,1,1,1,0,0,62,0,0,0,0,0,675,50,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1965,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,19,0,0,0,0,0,451,75,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1966,1,10,1,0,0,1,0,0,0,0,0,1,1,1,0,0,20,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1967,1,10,1,0,0,1,1,1,0,0,0,1,1,1,0,0,22,0,0,0,0,0,104,75,64,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1968,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,249,75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1969,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,17,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1970,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1971,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1972,1,10,1,0,0,1,0,0,0,0,0,1,1,1,0,0,55,0,0,0,0,0,309,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1973,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,26,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1974,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,10,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1975,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,15,1,0,0,0,0,223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1976,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,19,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1977,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,72,1,1,1,0,0,13,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1978,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,30,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1979,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,47,1,1,1,0,0,35,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1980,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,38,1,1,1,0,0,383,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1981,1,10,1,0,0,1,1,0,0,0,0,1,1,1,0,0,95,1,1,1,0,0,395,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1982,1,10,1,0,0,0,0,0,0,0,0,1,1,1,0,0,31,1,1,0,0,0,220,24,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1983,1,10,1,0,0,0,1,0,0,0,0,1,1,1,0,0,10,1,1,1,0,0,646,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1984,1,10,1,0,0,0,0,0,0,1,0,1,1,1,0,0,203,1,1,0,0,0,646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1985,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,0,134,1,1,1,0,0,847,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,Canada,1986,1,10,0,0,0,0,1,0,0,0,0,1,1,1,0,0,60,1,1,1,0,0,809,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
20,Canada,1987,1,10,0,0,0,1,1,1,0,0,0,1,1,1,0,0,100,1,1,0,0,0,764,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
20,Canada,1988,1,10,0,0,0,1,1,0,0,0,0,1,1,1,0,0,155,1,1,0,0,0,655,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1989,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,0,85,1,1,1,0,0,12,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1990,1,10,0,0,0,1,0,0,1,0,0,1,1,1,0,0,54,1,1,1,0,0,19,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1991,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,0,63,1,1,0,0,0,425,94,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,Canada,1992,1,10,0,0,0,0,1,0,1,0,0,1,1,1,0,0,67,1,1,1,0,0,121,53,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
20,Canada,1993,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,0,118,0,0,0,0,0,117,2,8,0,0,0,200,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
20,Canada,1994,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,41,1,1,1,1,0,317,0,25,0,0,0,100,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
20,Canada,1995,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,0,94,0,0,0,0,0,328,25,22,0,0,0,100,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
20,Canada,1996,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,18,1,1,1,1,0,316,25,23,0,0,0,150,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
20,Canada,1997,1,10,0,0,0,1,0,0,0,1,0,1,1,1,0,0,86,1,1,1,0,0,261,26,21,0,0,0,250,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
20,Canada,1998,1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,42,1,1,1,0,0,66,0,6,0,0,0,250,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
20,Canada,1999,1,10,0,0,0,1,0,1,0,0,0,1,1,1,0,0,81,1,0,0,0,0,104,0,17,0,0,0,200,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
20,Canada,2000,1,10,0,0,0,0,0,1,0,0,0,1,1,1,0,0,13,1,1,0,1,0,160,320,0,0,0,0,343,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
20,Canada,2001,1,10,0,0,0,1,1,0,0,0,0,1,1,1,0,0,102,1,1,1,0,0,85,380,0,0,0,0,343,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
20,Canada,2002,1,10,0,0,0,1,0,0,1,0,0,1,1,1,0,0,62,1,1,1,0,0,30,280,0,0,0,0,500,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
20,Canada,2003,1,10,0,0,0,0,0,0,0,0,29100000,1,1,1,0,0,21,1,1,1,1,0,57,20,1,0,0,0,557,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
20,Canada,2004,1,10,0,0,0,1,0,0,0,0,25400000,1,1,1,0,0,74,1,1,1,1,0,71,270,0,0,0,0,500,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
20,Canada,2005,1,10,0,0,0,0,0,0,0,1,24300000,1,1,1,0,0,22,1,1,1,0,0,96,16,0,0,0,0,557,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
20,Canada,2006,1,10,0,0,0,0,0,0,0,0,25500000,1,1,1,0,0,45,1,1,1,0,0,68,4,1,0,0,0,557,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
20,Canada,2007,1,10,0,0,0,1,0,0,0,0,25900000,1,1,1,0,0,31,1,0,0,0,0,409,0,0,0,0,0,557,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
20,Canada,2008,1,10,0,0,0,0,0,1,0,0,28500000,1,1,1,0,0,62,0,0,0,0,0,359,2,0,0,0,138,557,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
20,Canada,2009,1,10,0,0,0,1,0,1,0,0,27600000,1,1,1,0,0,96,1,1,0,0,0,99,2,0,0,0,130,557,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
20,Canada,2010,1,10,0,0,0,1,1,0,1,1,26800000,1,1,1,0,0,10,1,1,1,1,0,197,11,0,0,0,133,390,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
20,Canada,2011,1,10,0,0,0,0,1,0,0,0,27800000,1,1,1,0,0,0,0,0,0,0,0,319,12,0,0,0,131,400,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
20,Canada,2012,1,10,0,0,0,0,0,0,0,0,23300000,1,1,1,0,0,0,0,0,0,0,0,189,0,0,0,0,135,420,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
40,Cuba,1950,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Cuba,1951,0,3,0,0,0,0,0,0,0,0,755903,1,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
40,Cuba,1952,0,0,0,0,0,0,0,0,0,0,726520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Cuba,1953,0,-3,0,0,0,0,0,0,0,0,1427094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,Cuba,1954,0,-6,0,0,0,0,0,0,0,0,1411449,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,Cuba,1955,0,-9,0,0,0,0,0,0,0,0,3500906,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,Cuba,1956,0,-9,0,0,0,0,0,0,0,0,3412250,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,Cuba,1957,0,-9,0,0,0,0,0,0,0,0,3945970,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,Cuba,1958,0,-9,0,0,0,0,0,0,0,0,3192287,1,0,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
40,Cuba,1959,0,0,0,0,0,0,0,0,0,0,2524056,1,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
40,Cuba,1960,0,-4,0,0,0,0,0,0,0,0,5595064,1,0,0,0,0,58,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
40,Cuba,1961,0,-7,0,0,0,0,0,0,0,0,12256,1,0,0,0,0,29,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
40,Cuba,1962,0,-7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
